word,occurrence,day
aahed,1.85E-09,
aalii,6.22E-10,
aargh,2.16E-10,
aarti,7.67E-10,
abaca,6.32E-08,
abaci,1.49E-08,
aback,1.13E-06,110
abacs,8.74E-10,
abaft,2.18E-07,
abaka,2.94E-10,
abamp,1.78E-10,
aband,9.63E-08,
abase,6.18E-08,26
abash,6.63E-08,
abask,4.08E-11,
abate,1.04E-06,18
abaya,2.61E-09,
abbas,8.22E-08,
abbed,6.73E-09,
abbes,1.95E-08,
abbey,1.43E-06,208
abbot,1.50E-06,1697
abcee,2.09E-11,
abeam,6.74E-08,
abear,7.43E-09,
abele,8.95E-09,
abers,4.68E-09,
abets,7.92E-08,
abhor,3.67E-07,2070
abide,3.38E-06,1063
abies,4.26E-08,
abled,8.86E-08,1731
abler,7.91E-07,
ables,2.68E-07,
ablet,2.10E-08,
ablow,2.79E-08,
abmho,8.75E-11,
abode,2.07E-06,1632
abohm,2.57E-10,
aboil,4.53E-09,
aboma,9.32E-10,
aboon,4.37E-08,
abord,1.65E-07,
abore,3.22E-07,
abort,8.03E-07,1355
about,0.001053332,728
above,0.000241047,1877
abram,1.98E-08,
abray,1.16E-08,
abrim,9.09E-10,
abrin,5.00E-09,
abris,4.83E-09,
absey,5.37E-10,
absit,4.10E-08,
abuna,1.24E-08,
abune,1.45E-08,
abuse,3.57E-05,1481
abuts,1.56E-07,
abuzz,8.98E-09,
abyes,7.02E-11,
abysm,1.95E-08,
abyss,1.60E-06,126
acais,9.41E-11,
acari,1.60E-08,
accas,3.08E-10,
accoy,2.28E-10,
acerb,2.68E-08,
acers,1.18E-08,
aceta,3.71E-09,
achar,8.01E-09,
ached,3.46E-07,
aches,6.13E-07,
achoo,8.84E-10,
acids,1.01E-05,
acidy,1.98E-09,
acing,4.15E-08,
acini,8.57E-08,
ackee,2.38E-09,
acker,2.67E-08,
acmes,1.02E-08,
acmic,1.75E-10,
acned,1.74E-09,
acnes,1.06E-08,
acock,1.52E-08,
acold,1.50E-08,
acorn,4.21E-07,703
acred,7.33E-07,
acres,3.21E-05,
acrid,4.83E-07,1153
acros,2.94E-08,
acted,2.65E-05,
actin,3.14E-07,
acton,4.01E-08,
actor,1.19E-05,1674
acute,2.77E-05,190
acyls,5.13E-10,
adage,7.23E-07,1098
adapt,8.29E-06,2286
adaws,9.91E-11,
adays,3.25E-07,
adbot,7.86E-11,
addax,6.47E-09,
added,9.77E-05,
adder,5.77E-07,
addio,8.35E-09,
addle,1.33E-07,
adeem,4.01E-09,
adept,1.75E-06,1216
adhan,1.65E-09,
adieu,2.19E-06,
adios,1.18E-08,
adits,7.43E-08,
adman,1.33E-08,
admen,1.05E-08,
admin,1.14E-06,1653
admit,1.82E-05,485
admix,1.66E-08,
adobe,8.03E-07,40
adobo,4.00E-09,
adopt,2.19E-05,990
adore,9.68E-07,1131
adorn,7.52E-07,1109
adown,1.71E-07,
adoze,3.50E-10,
adrad,3.03E-08,
adred,1.16E-08,
adsum,1.57E-08,
aduki,4.37E-10,
adult,4.41E-05,2309
adunc,2.24E-10,
adust,1.35E-07,
advew,7.11E-11,
adyta,1.22E-08,
adzed,6.46E-09,
adzes,5.20E-08,
aecia,1.47E-08,
aedes,1.50E-07,
aegis,2.49E-07,
aeons,7.14E-08,
aerie,4.62E-08,
aeros,2.00E-09,
aesir,3.34E-10,
afald,1.20E-09,
afara,7.58E-10,
afars,2.50E-09,
afear,5.13E-09,
affix,7.80E-07,2039
afire,2.98E-07,1494
aflaj,2.78E-10,
afoot,6.45E-07,1222
afore,8.04E-06,
afoul,4.03E-07,1244
afrit,7.65E-09,
afros,9.96E-10,
after,0.000595097,1374
again,0.000243917,1505
agama,6.71E-09,
agami,2.39E-09,
agape,4.22E-07,395
agars,8.91E-09,
agast,2.88E-07,
agate,3.91E-07,102
agave,5.07E-08,
agaze,4.18E-09,
agene,1.29E-08,
agent,5.37E-05,1624
agers,1.01E-07,
agger,6.27E-08,
aggie,3.63E-09,
aggri,2.30E-10,
aggro,4.87E-09,
aggry,1.85E-09,
aghas,2.82E-09,
agila,9.95E-10,
agile,1.09E-06,1247
aging,1.20E-05,561
agios,5.76E-09,
agism,6.22E-10,
agist,2.32E-08,
agita,3.96E-08,
aglee,1.95E-09,
aglet,8.16E-09,
agley,4.79E-09,
agloo,2.89E-11,
aglow,2.29E-07,1290
aglus,6.58E-11,
agmas,4.16E-11,
agoge,1.43E-09,
agone,4.72E-07,
agons,3.27E-09,
agony,3.61E-06,1050
agood,4.70E-07,
agora,2.15E-07,241
agree,5.06E-05,70
agria,1.38E-08,
agrin,8.86E-09,
agros,7.53E-08,
agued,5.73E-09,
agues,3.62E-07,
aguna,1.43E-09,
aguti,2.45E-09,
ahead,3.70E-05,260
aheap,2.57E-08,
ahent,1.93E-09,
ahigh,3.49E-08,
ahind,1.44E-09,
ahing,4.00E-09,
ahint,1.25E-08,
ahold,2.44E-08,
ahull,1.21E-08,
ahuru,2.68E-10,
aidas,1.27E-09,
aided,6.03E-06,
aider,1.62E-07,852
aides,8.67E-07,
aidoi,3.78E-11,
aidos,2.17E-09,
aiery,9.84E-08,
aigas,9.28E-09,
aight,3.49E-08,
ailed,5.60E-07,
aimed,7.49E-06,
aimer,8.36E-08,
ainee,1.24E-09,
ainga,2.85E-10,
aioli,3.56E-09,
aired,4.81E-07,
airer,1.48E-08,
airns,4.36E-09,
airth,2.12E-08,
airts,4.86E-09,
aisle,3.23E-06,1658
aitch,1.13E-08,
aitus,1.17E-09,
aiver,3.39E-09,
aiyee,6.51E-11,
aizle,3.14E-10,
ajies,3.73E-10,
ajiva,8.93E-10,
ajuga,1.42E-09,
ajwan,3.08E-10,
akees,1.69E-10,
akela,1.21E-10,
akene,7.28E-09,
aking,5.66E-07,
akita,3.34E-10,
akkas,8.63E-11,
alaap,2.05E-10,
